106,Dhaulagiri Himal (WNW of Gurja Himal),3
107,Dhaulagiri Himal (WSW of Gurja Himal),3
108,Mustang Himal (N of Ghyun Khola on Tibetan border),4
109,Kangchenjunga Himal (N of Kangchenjunga on Indian border),5
110,Annapurna Himal (E of Annapurna I),3
111,Kanti Himal (WNW of Kanti Himal peak on Tibetan border),4
112,Jugal Himal (on Tibetan border),4
113,Gorakh Himal (NE of Simikot on Tibetan border),4
114,Gorakh Khang (ENE of Simikot on Tibetan border),4
115,Guras Himal (NE of Nampa on Tibetan border),4
116,Dhaulagiri Himal (S of Dhaulagiri VI),3
117,Jugal Himal (N of Dorje Lhakpa on Tibetan border),4
118,Khumbu Himal (E of Cho Oyu on Tibetan border),4
119,Peri Himal (SW of Himlung Himal),3
120,Manaslu Himal (NNE of Larkya La on Tibetan border),4
121,Jugal Himal (SE of Leonpo Gang on Tibetan border),4
122,Khumbu Himal (S of Gyachung Kang on Tibetan border),4
123,Annapurna Himal (WSW of Roc Noir),3
124,Mansiri Himal (SE of Manaslu),3
125,Peri Himal (S of Himlung Himal),3
126,Peri Himal (NW of Manaslu near Tibetan border),3
127,"Mansiri Himal (SE of Manaslu, WNW of Himalchuli Main)",3
128,"Mansiri Himal (SE of Manaslu, W of Himalchuli Main)",3
129,Annapurna Himal (E of Annapurna South),3
130,Peri Himal (E of Himlung Himal on Tibetan border),4
131,"Khumbu Himal (in Hongku Valley, NE of Chamlang)",3
132,Mukut Himal (N of Sita Chuchura in Hidden Valley),3
133,"Khumbu Himal (in Hongku Valley, W of Hongku Chuli)",3
134,Peri Himal (WNW of Ratna Chuli on Tibetan border),5
135,Khumbu Himal (NNE of Peak 41),3
136,Rolwaling Himal (S of Tarkago),3
137,Jagdula Lekh (S of Kande Hiunchuli),3
138,Kangchenjunga Himal (W of Kangchenjunga),3
139,Janak Himal (WNW of Jongsang on Tibetan border),4
140,Manaslu Himal (N of Larkya La on Tibetan border),4
141,Khumbu Himal (NW of Pasang Lhamu Chuli),3
142,Api Himal (S of Nampa and Bobaye),3
143,Rolwaling Himal (SW of Nangpa La near Tibetan border),3
144,Damodar Himal (WNW of Amotsang Himal),3
145,Jongsang Himal (on Indian-Tibetan border),6
146,Jugal Himal (E of Dorje Lakpa),3
147,Jugal Himal (ENE of Dorje Lakpa),3
148,Jugal Himal (SE of Dorje Lakpa),3
149,Jugal Himal (SSE of Dorje Lakpa),3
150,Jugal Himal (W of Yangri),3
151,"Dhaulagiri Himal (on ridge joining Dhaulagiri VI, IV and Churen)",3
152,Byas Risi Himal (NNW of Nampa on Tibetan border),4
153,Simhalila Himal (SE of Kabru in India),2
154,Simhalila Himal (S of Kabru Main on Indian border),5
155,Simhalila Himal (S of Talung on Indian border),5
156,Simhalila Himal (S of Kabru North on Indian border),5
157,Kagmara Lekh (S of Kanjiroba Himal),3
158,Kanjiroba Himal (SE of Phoksumdo Tal),3
159,Kanti Himal (WNW of Changdi on Tibetan border),4
160,"Mustang Himal (NNE of Tsartse, WSW of Ghami village)",3
161,Khumbu Himal (NW of Baruntse),3
162,Kanjiroba Himal (NE of Kande Huinchuli),3
163,Kangchenjunga Himal (W Spur of Kangchenjunga),3
164,Kangchenjunga Himal (between Main and South summits),5
165,Kanjiroba Himal (WNW of Kanjiroba),3
166,Kangchenjunga Himal,5
167,Kangchenjunga Himal (small knob north of Main summit),5
168,Kanti Himal (NNW of Kanjiroba on Tibetan border),4
169,Kanti Himal (NW of Kanti Himal peak on Tibetan border),4
170,Saipal Himal (WNW of Saipal),3
171,Damodar Himal (NE of Saribung),3
172,Rolwaling Himal (SE of Numbur),3
173,Kangchenjunga Himal (plateau SE of Kangbachen?),3
174,Dhaulagiri Himal (SE of Gurja Himal),3
175,Khumbu Himal (NE of Gokyo Lake),3
176,Khumbu Himal (W of Pumori),3
177,Damodar Himal (W of Saribung and Bhrikuti),3
178,Rolwaling Himal (E of Numbur),3
179,Manaslu Himal (E of Samdo Peak on Tibetan border),4
180,Palchung Himal (NE of Kanjiroba on Tibetan border),4
181,Khumbu Himal (SW of Nuptse),3
182,Khumbu Himal (NW of Lho La on Tibetan border),4
183,Langtang Himal (NE of Langtang Lirung),3
184,Jongsang Himal (N of Kangchenjunga on Indian border),5
185,Kanjiroba Himal (NW of Phoksumdo Tal),3
186,Kanjiroba Himal,3
187,Kanti Himal (NW of Kanti Himal on Tibetan border),4
188,Kanti Himal (ESE of Kanti Himal peak on Tibetan border),4
189,Kanti Himal (NNW of Kanti Himal peak on Tibetan border),4
190,Kanti Himal (SW of Kojichuwa Chuli on Tibetan border),4
191,N of Lamabagar on Tibetan border,3
192,Simhalila Himal (SSW of Rothang on Indian border),5
193,Khumbu Himal (SW of Ama Dablam),3
194,Dhaulagiri Himal (on ridge N of Putha Hiunchuli),3
195,"Kagmara Lekh (SE of Kanjiroba, W of Kanjeralwa)",3
196,Annapurna-Nilgiri Himal (SW of Thorong La),3
197,Damodar Himal (NE of Saribung and W of Bhrikuti),3
198,Khumbu Himal (NE of Lukla village),3
199,Rolwaling Himal (W of Namche Bazar),3
200,Janak Himal (SW of Dzanye on Tibetan border),3
201,Khumbu Himal (S of Kantega),3
202,Khumbu Himal (SW of Gokyo Lake),3
203,Langtang Himal (NE of Shalbachum near Tibetan border),3
204,Langtang Himal (NE of Shalbachum on Tibetan border),4
205,Annapurna Himal (SE of Annapurna II),3
206,Ganesh Himal (N of Ganesh I on Tibetan border),4
207,Langtang Himal,3
208,Langtang Himal (NE of Langtang Lirung on Tibetan border),4
209,Langtang Himal (ENE of Langtang Lirung),3
210,Manaslu Himal (N of Manaslu North),3
211,Janak Himal (SW of Ghhanyala Hies on Tibetan border),4
212,Janak Himal (NW of Lashar II on Tibetan border),4
213,Changla Himal (N of Gorakh Himal on Tibetan border),4
214,Rolwaling Himal (N of Raungsiyar and Pimu),3
215,Rolwaling Himal (WSW of Ripimo Shar on Tibetan border),4
216,Jugal Himal (NE of Leonpo Gang on Tibetan border),4
217,Jugal Himal (NNE of Dorje Lhakpa on Tibetan border),4
218,"Kagmara Lekh (S of Kanjiroba, NNW of Kagmara I)",3
219,Api Himal (SW of Api Main),3
220,Khumbu Himal (E of Lhotse),4
221,Rolwaling Himal (S of Parchamo),3
222,"Rolwaling Himal (SSW of Parchamo, W of Likhu Chuli Shar)",3
223,Khumbu Himal (ENE of Pumori on Tibetan border),4
224,Rolwaling Himal (N of Tesi Laptsa),3
225,Janak Himal (WNW of Drohmo),3
226,Jongsang Himal (NW of Langpo on Indian border),4
227,Shringi Himal (S of Tobsar),3
228,Kanti Himal (SE of Danfe Sail on Tibetan border),3
229,Jongsang Himal (SE of Jongsang on Indian border),5
230,Jongsang Himal (SE of Langpo on Indian border),5
231,Khumbu Himal (SW of Pumori),3
232,Khumbu Himal (S of Nangpai Gosum II),3
233,Khumbu Himal (ESE of Lhotse and Lhotse Middle),4
234,Jugal Himal (NW of Dorje Lhakpa),3
235,Damodar Himal (E of Bhrikuti Sail on Tibetan border),4
236,Rolwaling Himal (SW of Nangpa La on Tibetan border),4
237,Rolwaling Himal (W of Lunag I on Tibetan border),4
238,Annapurna Himal (SE of Annapurna III),3
239,Makalu Himal (NNW of Makalu on Tibetan border),4
240,Makalu Himal,4
241,"Khumbu Himal (S of Ama Dablam, NW of Kangtega)",3
242,Manaslu Himal,3
243,Manaslu Himal (N of Manaslu),3
244,Dhaulagiri Himal (SSW of Dhaulagiri I),3
245,Annapurna Himal (SW of Machhapuchhare),3
246,Kanti Himal (SE of Kanti Himal on Tibetan border),4
247,Kanti Himal (WSW of Mariyang on Tibetan border),4
248,Kanti Himal (NW of Changdi Himal on Tibetan border),4
249,Khumbu Himal (S of Ama Dablam),3
250,Kangchenjunga Himal (WNW of Anidesh Chuli),3
251,Khumbu Himal (SW of Mera),3
252,"Khumbu Himal (in Hongku Valley, SE of Chamlang)",3
253,Khumbu Himal (S of Ama Dablam and Mingbo La),3
254,Mustang Himal (NW of Lo Manthang on Tibetan border),3
255,Mustang Himal (S of Mansail on Tibetan border),3
256,Kangchenjunga Himal (W of Ramtang Chang),3
257,"Dhaulagiri Himal (SSW of Dhaulagiri I, NE of Manapathi)",3
258,"Mukut Himal (N of Sita Chuchura, S of Hongde)",3
259,Mustang Himal (S of Mustang Himal peak on Tibetan border),3
260,Dhaulagiri Himal (S of Dhaulagiri IV),3
261,Khumbu Himal (WSW of Cho Oyu on Tibetan border),4
262,Nalakankar Himal (on W Nepal/Tibetan border),4
263,Api Himal (W of Nampa),3
264,Api Himal (SE of Nampa),3
265,Api Himal (E of Api),3
266,"Api Himal (S of Nampa, W of Nampa Chuli)",3
267,Ohmi Kangri Himal (S of Nangamari I),3
268,Ohmi Kangri Himal (W of Chaw Peak on Tibetan border),4
269,Khumbu Himal (S of Mera Peak),3
270,Jugal Himal (W of Ganchempo by Kangja La),3
271,Peri Himal (S of Himlung Himal and Himjung),3
272,Kangchenjunga Himal (ENE of Gimmegela on Indian border),5
